代数, 变异数, 最优个体时间
961,3,67985.0
962,4,67985.0
963,8,67985.0
964,6,67985.0
965,4,67985.0
966,5,67985.0
967,6,67985.0
968,6,67985.0
969,7,67985.0
970,8,67985.0
971,2,67985.0
972,3,67985.0
973,7,67985.0
974,1,67985.0
975,3,67985.0
976,6,67985.0
977,6,67985.0
978,6,67985.0
979,5,67985.0
980,4,67985.0
981,1,67985.0
982,5,67985.0
983,1,67985.0
984,6,67985.0
985,3,67985.0
986,6,67985.0
987,2,67985.0
988,6,67985.0
989,7,67985.0
990,2,67985.0
991,5,67977.0
992,1,67977.0
993,4,67977.0
994,3,67977.0
995,1,67977.0
996,6,67977.0
997,4,67977.0
998,3,67977.0
999,7,67977.0
1000,1,67977.0
1001,2,67977.0
1002,2,67977.0
1003,4,67977.0
1004,6,67977.0
1005,3,67977.0
1006,7,67977.0
1007,5,67977.0
1008,6,67977.0
1009,5,67977.0
1010,6,67977.0
1011,6,67977.0
1012,4,67977.0
1013,7,67977.0
1014,5,67977.0
1015,5,67977.0
1016,7,67977.0
1017,5,67977.0
1018,4,67977.0
1019,3,67977.0
1020,3,67977.0
1021,3,67977.0
1022,6,67977.0
1023,3,67977.0
1024,1,67977.0
1025,5,67977.0
1026,5,67977.0
1027,4,67977.0
1028,1,67977.0
1029,5,67977.0
1030,3,67977.0
1031,1,67977.0
1032,6,67977.0
1033,4,67977.0
1034,6,67977.0
1035,6,67977.0
1036,2,67977.0
1037,2,67977.0
1038,2,67977.0
1039,3,67977.0
1040,4,67977.0
1041,2,67977.0
1042,8,67977.0
1043,1,67977.0
1044,4,67977.0
1045,6,67977.0
1046,4,67977.0
1047,5,67977.0
1048,3,67977.0
1049,6,67977.0
1050,6,67977.0
1051,1,67977.0
1052,4,67977.0
1053,5,67977.0
1054,7,67977.0
1055,3,67977.0
1056,2,67977.0
1057,4,67977.0
1058,4,67977.0
1059,4,67977.0
1060,4,67977.0
1061,4,67977.0
1062,6,67977.0
1063,7,67977.0
1064,7,67977.0
1065,5,67977.0
1066,2,67977.0
1067,6,67977.0
1068,8,67977.0
1069,4,67977.0
